,metaboliteID,microbeID,edgeType,pvalue
618,2133,9,2,0
619,2134,457,2,0
620,2135,1064,2,0
621,2135,457,2,0
622,2135,309,2,0
623,2136,1064,2,0
624,2136,309,2,0
625,2140,1064,2,0
626,2140,309,2,0
627,2141,1065,3,0
628,2141,1064,3,0
629,2141,1054,3,0
630,2141,1052,3,0
631,2141,969,3,0
632,2141,968,3,0
633,2141,965,3,0
634,2141,964,3,0
635,2141,953,3,0
636,2141,952,2,0
637,2141,608,3,0
638,2141,551,3,0
639,2141,513,2,0
640,2141,512,2,0
641,2141,464,3,0
642,2141,461,3,0
643,2141,460,3,0
644,2141,457,3,0
645,2141,456,2,0
646,2141,455,2,0
647,2141,454,3,0
648,2141,420,3,0
649,2141,401,2,0
650,2141,339,3,0
651,2141,338,3,0
652,2141,329,3,0
653,2141,260,3,0
654,2141,161,3,0
655,2141,159,2,0
656,2141,158,3,0
657,2141,157,3,0
658,2141,153,3,0
659,2141,152,3,0
660,2141,151,3,0
661,2141,149,3,0
662,2141,134,3,0
663,2141,129,3,0
664,2141,126,2,0
665,2141,75,2,0
666,2142,1064,2,0
667,2142,309,2,0
668,2142,134,2,0
669,2143,1064,2,0
670,2143,796,2,0
671,2144,159,2,0
672,2144,76,2,0
673,2145,1064,2,0
674,2145,812,2,0
675,2145,309,2,0
676,2145,134,2,0
677,2145,126,2,0
678,2146,457,2,0
679,2147,1064,2,0
680,2147,309,2,0
681,2147,134,2,0
682,2148,309,2,0
683,2149,968,2,0
684,2149,870,2,0
685,2149,812,2,0
686,2149,551,2,0
687,2149,329,2,0
688,2149,137,2,0
689,2149,134,2,0
690,2149,129,2,0
691,2151,314,2,0
692,2151,309,2,0
693,2151,76,2,0
694,2153,309,2,0
695,2154,796,2,0
696,2154,309,2,0
697,2155,1064,2,0
698,2155,309,2,0
699,2155,134,2,0
700,2156,1064,2,0
701,2156,309,2,0
702,2156,134,2,0
703,2156,76,2,0
704,2157,1065,2,0
705,2157,1064,2,0
706,2157,1054,2,0
707,2157,1052,2,0
708,2157,870,2,0
709,2157,814,2,0
710,2157,812,2,0
711,2157,796,2,0
712,2157,457,2,0
713,2157,420,2,0
714,2157,339,2,0
715,2157,338,2,0
716,2157,329,2,0
717,2157,260,2,0
718,2157,161,2,0
719,2157,158,2,0
720,2157,157,2,0
721,2157,153,2,0
722,2157,152,2,0
723,2157,151,2,0
724,2157,149,2,0
725,2157,137,2,0
726,2158,953,2,0
727,2158,952,2,0
728,2158,158,3,0
729,2158,153,3,0
730,2159,323,3,0
731,2159,314,3,0
732,2159,157,3,0
733,2159,153,3,0
734,2159,152,3,0
735,2159,151,3,0
736,2159,149,3,0
737,2159,134,3,0
738,2159,126,3,0
739,2161,968,2,0
740,2161,964,2,0
741,2161,952,2,0
742,2161,870,2,0
743,2161,814,2,0
744,2161,457,2,0
745,2161,420,2,0
746,2161,401,2,0
747,2161,339,2,0
748,2161,338,2,0
749,2161,329,2,0
750,2161,260,2,0
751,2161,157,2,0
752,2161,149,2,0
753,2161,137,2,0
754,2161,76,2,0
755,2162,952,2,0
756,2162,551,2,0
757,2162,339,2,0
758,2162,137,2,0
759,2163,608,3,0
760,2163,513,2,0
761,2163,425,3,0
762,2163,157,2,0
763,2163,152,2,0
764,2163,149,2,0
765,2163,134,3,0
766,2163,129,3,0
767,2163,126,3,0
768,2166,456,2,0
769,2166,134,3,0
770,2167,464,3,0
771,2167,309,3,0
772,2167,152,3,0
773,2167,149,3,0
774,2172,464,2,0
775,2172,134,2,0
776,2172,129,2,0
777,2172,76,2,0
778,2173,76,2,0
779,2174,134,2,0
780,2174,129,2,0
781,2175,966,2,0
782,2175,464,2,0
783,2175,420,2,0
784,2175,309,2,0
785,2175,134,2,0
786,2175,76,2,0
787,2178,1065,3,0
788,2178,1064,3,0
789,2178,1054,3,0
790,2178,1052,3,0
791,2178,965,2,0
792,2178,964,2,0
793,2178,812,2,0
794,2178,464,3,0
795,2178,401,2,0
796,2178,326,3,0
797,2178,323,3,0
798,2178,314,3,0
799,2178,309,3,0
800,2178,159,3,0
801,2178,137,2,0
802,2178,135,2,0
803,2178,134,2,0
804,2178,133,2,0
805,2178,131,2,0
806,2178,129,2,0
807,2178,126,2,0
808,2178,125,2,0
809,2178,124,2,0
810,2178,123,2,0
811,2178,122,2,0
812,2178,121,2,0
813,2178,119,2,0
814,2178,9,3,0
815,2179,1064,2,0
816,2179,1007,2,0
817,2180,159,2,0
818,2186,804,2,0
819,2188,309,3,0
820,2190,1065,2,0
821,2190,1064,2,0
822,2190,1054,2,0
823,2190,1052,2,0
824,2190,964,2,0
825,2190,608,2,0
826,2190,326,2,0
827,2190,323,2,0
828,2190,314,2,0
829,2190,309,2,0
830,2194,401,2,0
831,2195,134,3,0
832,2196,157,3,0
833,2196,134,3,0
834,2196,129,3,0
835,2201,968,3,0
836,2201,953,3,0
837,2201,952,3,0
838,2201,880,3,0
839,2201,878,3,0
840,2201,870,3,0
841,2201,796,3,0
842,2201,464,3,0
843,2201,457,3,0
844,2201,401,2,0
845,2201,338,3,0
846,2201,157,3,0
847,2201,137,3,0
848,2201,135,3,0
849,2201,134,3,0
850,2201,133,3,0
851,2201,131,3,0
852,2201,129,3,0
853,2201,126,3,0
854,2201,125,3,0
855,2201,124,3,0
856,2201,123,3,0
857,2201,122,3,0
858,2201,121,3,0
859,2201,119,3,0
860,2201,75,3,0
861,2201,54,3,0
862,2201,9,3,0
863,2202,953,3,0
864,2202,159,2,0
865,2203,134,3,0
866,2203,129,3,0
867,2203,126,3,0
868,2204,1007,2,0
869,2204,964,2,0
870,2204,608,2,0
871,2204,157,3,0
872,2204,153,3,0
873,2204,152,3,0
874,2204,149,3,0
875,2205,420,2,0
876,2205,401,2,0
877,2205,159,2,0
878,2205,134,3,0
879,2205,76,2,0
880,2206,968,2,0
881,2206,952,2,0
882,2206,870,2,0
883,2206,814,2,0
884,2206,812,2,0
885,2206,551,2,0
886,2206,457,2,0
887,2206,339,2,0
888,2206,338,2,0
889,2206,329,2,0
890,2206,309,2,0
891,2206,161,2,0
892,2206,158,2,0
893,2206,157,2,0
894,2206,153,2,0
895,2206,152,2,0
896,2206,151,2,0
897,2206,149,2,0
898,2206,137,2,0
899,2206,134,2,0
900,2206,126,2,0
901,2206,55,2,0
902,2210,1064,2,0
903,2210,964,2,0
904,2210,608,2,0
905,2210,464,2,0
906,2210,152,2,0
907,2212,134,3,0
908,2214,309,2,0
909,2217,965,3,0
910,2217,964,3,0
911,2217,895,3,0
912,2217,880,3,0
913,2217,878,3,0
914,2217,870,3,0
915,2217,814,3,0
916,2217,813,3,0
917,2217,796,3,0
918,2217,551,3,0
919,2217,460,3,0
920,2217,401,2,0
921,2217,159,2,0
922,2217,158,3,0
923,2217,157,3,0
924,2217,153,3,0
925,2217,152,3,0
926,2217,151,3,0
927,2217,149,3,0
928,2217,137,3,0
929,2217,135,3,0
930,2217,134,3,0
931,2217,133,3,0
